Год;2016;2017;2018;2019;2020
Всего;818;766;741;724;705
Государственные;502;500;496;495;492
В ведении федеральных органов исполнительной власти - всего;453;451;451;452;448
Верховный суд Российской Федерации, Высший арбитражный суд Российской Федерации;1;1;1;1;1
Министерство здравоохранения Российской Федерации;46;46;46;47;46
Министерство иностранных дел Российской Федерации;2;2;2;2;2
Министерство культуры Российской Федерации;46;45;45;45;47
Министерство науки и высшего образования Российской Федерации;248;248;248;248;215
Министерство промышленности и торговли Российской Федерации;1;1;1;1;0
Министерство просвещения Российской Федерации;0;0;0;0;33
Министерство сельского хозяйства Российской Федерации;54;54;54;54;54
Министерство спорта Российской Федерации;14;14;14;14;14
Министерство транспорта Российской Федерации;;1;1;1;1
Министерство экономического развития Российской Федерации;1;1;1;1;1
Министерство юстиции Российской Федерации;1;1;1;1;1
Правительство Российской Федерации;7;7;8;8;6
Российская академия художеств;2;2;2;2;0
Федеральная служба по интеллектуальной собственности, патентам и товарным знакам;1;1;1;1;1
Федеральная таможенная служба;1;1;1;1;1
Федеральное агентство воздушного транспорта;3;3;3;3;3
Федеральное агентство железнодорожного транспорта;9;8;8;8;8
Федеральное агентство морского и речного транспорта;6;5;5;5;5
Федеральное агентство по рыболовству;6;6;5;5;5
Федеральное агентство связи;4;4;4;4;4
В ведении субъектов РФ и муниципалитетов  - всего;49;49;45;43;44
Частные организации;316;266;245;229;213
